,0
0,"4.6★1,074 Ratings &123 Reviews5★4★3★2★1★90967191168"
1,4.6★
2,"1,074 Ratings &"
3,123 Reviews
4,5Fabulous!
5,"It's not pro, it's 13 pro max.I switched from 6s to 13 pro max.Ultimate performance as expected bcz A15 bionic processor is at its best.Camera is just amazing as triple camera with sensor shift motion and night vision.Video recording in night mode with cinematic mode is just cute ever.Display:-Wooww as 120Hz is just super smooth, gives you ultimate gaming experience. You will hang on but your iPhone won't. Battery is long lasting too but you may be not😉😉😜😜.Front camera is a...READ MORE"
6,"Sonu SharmaCertified Buyer, Jodhpur7 months ago72171552PermalinkReport Abuse"
7,"Sonu SharmaCertified Buyer, Jodhpur7 months ago"
8,72171552PermalinkReport Abuse
9,5Best in the market!
10,It works really well More than anything I enjoy flaunting my three eyed phone and Apple 🍎 Logo ! Of course it’s a costly phone and I won’t justify its price tag . Still Superb Display Great Camera Two day Battery life and pure luxury of using an iPhone I like that ! At last … If u don’t have a iPhone you don’t have a iPhone 📱READ MORE
11,"Siddharth ThokeCertified Buyer, Pune7 months ago54681170PermalinkReport Abuse"
12,"Siddharth ThokeCertified Buyer, Pune7 months ago"
13,54681170PermalinkReport Abuse
14,5Terrific purchase
15,"If money can buy phone, then this is it... The best and the greatest from Apple. Damn, it is a gem... Obviously it is costly... I would say 30% premium... But, if you can afford it, then this is the best mobile human can produce now.READ MORE"
16,"Avishek BanerjeeCertified Buyer, Chennai7 months ago710314PermalinkReport Abuse"
17,"Avishek BanerjeeCertified Buyer, Chennai7 months ago"
18,710314PermalinkReport Abuse
19,5Best in the market!
20,Great phone from Apple. Excellent display with variable refresh rate. Feels very light on hand. Great battery stand by time. Amazing delivery speed by Flipkart. Night shots on camera are awesome with bigger sensor. Worth every bit the high price tag. As always Apple has nailed it once again.READ MORE
21,"Flipkart CustomerCertified Buyer, Bengaluru7 months ago6318PermalinkReport Abuse"
22,"Flipkart CustomerCertified Buyer, Bengaluru7 months ago"
23,6318PermalinkReport Abuse
24,5Classy product
25,Amazing product. An absolute charm to use the 120hz refresh screen on an Apple device running ios 15. Battery life is superb. Powerful processor never slows down even on heavy tasks.  Only downside is the weight slightly heavy. Rest an amazing product from Apple.  Reliable service from Flipkart.READ MORE
26,"Bibhusan DahalCertified Buyer, Upper Tadong8 months ago8831PermalinkReport Abuse"
27,"Bibhusan DahalCertified Buyer, Upper Tadong8 months ago"
28,8831PermalinkReport Abuse
29,5Terrific
30,I was using iPhone XR from 2019Camera of XR was not good enough and always wanted to buy best iPhone and purchasers 256gb wala.I know it’s costly but m happy camera is the best and performance and battery is awesomeIf anyone don’t have money issues then definitely go for iPhone 13 pro maxREAD MORE
31,"Rohit meshramCertified Buyer, Nagpur6 months ago203PermalinkReport Abuse"
32,"Rohit meshramCertified Buyer, Nagpur6 months ago"
33,203PermalinkReport Abuse
34,5Mind-blowing purchase
35,"OMG,13 Max Pro is a ultimate bundle of smart phone Camera is like DSLR and the phone performance is absolutely fine ya it’s very expensive 1 but if you want something different with better perform you should grab it.Battery backup is good I charge it once in 1.5 days so it is good for me. If you are looking for great camera phone and have good budget then go for it .READ MORE"
36,"Tanay PurnayeCertified Buyer, Pune3 months ago165PermalinkReport Abuse"
37,"Tanay PurnayeCertified Buyer, Pune3 months ago"
38,165PermalinkReport Abuse
39,5Excellent
